V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,y
0.031399999999686,0.054999999999449996,0.062199999999377996,0.15179999999848198,0.297499999997025,0.157399999998426,0.068099999999319,0.054199999999457994,0.046899999999531,0.07549999999924499,Female
0.031399999999686,0.054999999999449996,0.062199999999377996,0.15179999999848198,0.297499999997025,0.157399999998426,0.068099999999319,0.054199999999457994,0.046899999999531,0.07549999999924499,Female
0.020399999999795998,0.052899999999470995,0.045899999999540995,0.142399999998576,0.358899999996411,0.16099999999839,0.058799999999411996,0.050399999999495994,0.043699999999563,0.06559999999934399,Female
0.044399999999555996,0.061599999999383995,0.052499999999474994,0.12139999999878599,0.251199999997488,0.138299999998617,0.066699999999333,0.065199999999348,0.092399999999076,0.106299999998937,Female
0.043299999999567,0.06449999999935499,0.054999999999449996,0.12459999999875399,0.25029999999749697,0.1499999999985,0.06749999999932499,0.061599999999383995,0.079099999999209,0.104099999998959,Female
0.039899999999601,0.069299999999307,0.052199999999478,0.13119999999868798,0.294799999997052,0.133499999998665,0.070799999999292,0.060099999999398995,0.055199999999447996,0.09299999999907,Female
0.039799999999601994,0.06639999999933599,0.054599999999453995,0.134299999998657,0.291899999997081,0.135599999998644,0.065499999999345,0.062199999999377996,0.056499999999434995,0.09319999999906799,Female
0.023499999999764997,0.044199999999557996,0.047599999999523995,0.146499999998535,0.36169999999638297,0.16709999999832897,0.059899999999400995,0.043699999999563,0.040199999999597995,0.06559999999934399,Female
0.032099999999678996,0.05849999999941499,0.057299999999427,0.12899999999870998,0.326099999996739,0.14719999999852798,0.06529999999934699,0.058099999999419,0.047299999999527,0.079099999999209,Female
0.03499999999965,0.06059999999939399,0.04999999999949999,0.133799999998662,0.318099999996819,0.146599999998534,0.067699999999323,0.05529999999944699,0.05019999999949799,0.08269999999917299,Female
0.031599999999684,0.059399999999406,0.054799999999451995,0.13099999999869,0.32899999999671,0.14529999999854698,0.068099999999319,0.05679999999943199,0.047299999999527,0.07669999999923299,Female
